country,volleyball,basketball,cricket,rugby,soccer,american_football,baseball,ice_hockey,handball,water_polo,field_hockey
Argentina,0.045825,0.092657,0.0,0.094333,0.690613,0.007401,0.009137,0.010421,0.024014,7.6e-05,0.025524
Austria,0.050455,0.057211,0.017992,0.018039,0.631496,0.024898,0.01581,0.1053,0.060494,0.004458,0.013848
Australia,0.014214,0.095432,0.289522,0.129052,0.379987,0.02193,0.029904,0.013609,0.000607,0.005807,0.019936
Belgium,0.056824,0.089138,0.019675,0.057818,0.657143,0.018833,0.015282,0.021813,0.025491,0.007419,0.030564
Bulgaria,0.146422,0.082608,0.002069,0.004859,0.708984,0.014052,0.008259,0.017206,0.012847,0.000351,0.002342
Brazil,0.095245,0.063088,0.000873,0.00941,0.775099,0.0112,0.009191,0.000283,0.034925,0.000275,0.000412
Canada,0.032424,0.091418,0.035139,0.025816,0.286289,0.063554,0.091823,0.28337,0.00046,0.003088,0.086618
Switzerland,0.058643,0.052023,0.023705,0.048686,0.516421,0.019577,0.014808,0.158128,0.063177,0.006132,0.038701
Cameroon,0.005948,0.038642,0.001726,0.010393,0.913103,0.025351,0.00014,7e-05,0.004627,0.0,0.0
China,0.094567,0.153592,0.181438,0.038613,0.384934,0.060694,0.07105,0.009979,0.000798,0.001971,0.002365
Colombia,0.069407,0.092788,0.000827,0.008937,0.777351,0.007971,0.027125,0.002338,0.008662,0.001891,0.002704
Germany,0.049877,0.077129,0.009322,0.017435,0.598127,0.015594,0.016011,0.048448,0.148794,0.00516,0.014104
Denmark,0.022898,0.039939,0.022502,0.015243,0.527123,0.025447,0.005656,0.071809,0.25674,0.002196,0.010448
Spain,0.025001,0.146296,0.007569,0.030569,0.705893,0.008156,0.010362,0.005473,0.044295,0.008014,0.008369
Finland,0.07507,0.078396,0.006445,0.004908,0.376098,0.018249,0.01087,0.386266,0.016431,0.000289,0.026977
France,0.020453,0.092521,0.001814,0.289341,0.45785,0.029078,0.0,0.025334,0.082718,0.0,0.00089
Greece,0.049854,0.299708,0.02383,0.008626,0.536696,0.015789,0.009211,0.003363,0.027485,0.025146,0.000292
Croatia,0.05371,0.182789,0.001107,0.010059,0.494693,0.007936,0.01343,0.037499,0.157145,0.034739,0.006892
Indonesia,0.036091,0.065576,0.005288,0.003138,0.870633,0.005819,0.011797,0.000211,0.000737,0.000184,0.000527
Ireland,0.001703,0.028101,0.042152,0.248368,0.621487,0.025404,0.007664,0.008657,0.002271,0.0,0.014192
India,0.0,0.0,0.893424,0.0,0.102689,0.000324,0.0,0.0,0.0,0.0,0.003563
Italy,0.13679,0.061407,0.009432,0.042599,0.713162,0.00527,0.010275,0.004337,0.006401,0.005015,0.005312
Japan,0.13392,0.117656,0.003779,0.003616,0.58681,0.026827,0.099604,0.001607,0.020563,0.005617,0.0
Kenya,0.005947,0.030315,0.063078,0.070883,0.808465,0.011274,0.00183,0.001582,0.003189,0.0,0.003437
Kazakhstan,0.021835,0.03545,0.002371,0.00323,0.839027,0.002484,0.003106,0.086493,0.003058,0.001313,0.001632
Luxembourg,0.045932,0.112884,0.014079,0.090571,0.600764,0.017496,0.009025,0.022483,0.082966,0.000712,0.003087
Mexico,0.045317,0.078187,0.001066,0.004783,0.74275,0.034133,0.079201,0.003488,0.006576,0.001363,0.003136
Malaysia,0.026902,0.054596,0.073502,0.034655,0.735754,0.025554,0.013491,0.005996,0.009636,0.000143,0.019772
Netherlands,0.050415,0.050979,0.022149,0.030913,0.658406,0.009883,0.027314,0.025474,0.032901,0.013518,0.078048
Norway,0.028393,0.03434,0.026622,0.015543,0.648502,0.018198,0.011131,0.059217,0.139003,0.000774,0.018276
New Zealand,0.008862,0.055669,0.198591,0.418314,0.246308,0.014088,0.017723,0.015905,0.000227,0.000682,0.023631
Philippines,0.163303,0.536732,0.023597,0.015001,0.176084,0.021984,0.054831,0.006758,0.000171,0.000257,0.001283
Portugal,0.033145,0.051531,0.005059,0.02923,0.819406,0.00711,0.006654,0.003837,0.039118,0.002978,0.001932
Romania,0.033229,0.072669,0.007146,0.033192,0.72985,0.008235,0.008388,0.024703,0.075232,0.00293,0.004424
Serbia,0.068636,0.213643,0.000416,0.001823,0.580865,0.012959,0.002947,0.011459,0.071702,0.035321,0.000229
Sweden,0.019584,0.02915,0.012391,0.015815,0.484358,0.014923,0.013657,0.224761,0.098387,0.001845,0.085129
Thailand,0.022553,0.02922,0.001202,0.000579,0.940444,0.002221,0.002382,5.2e-05,0.001347,0.0,0.0
Uganda,0.000922,0.009368,0.017796,0.010894,0.954224,0.00457,0.001221,0.000778,0.000227,0.0,0.0
United States,0.03159,0.18178,0.024877,0.011124,0.263081,0.268425,0.15462,0.048187,0.000243,0.000389,0.015683
Zimbabwe,0.004299,0.012905,0.123198,0.059918,0.788264,0.003704,0.000911,0.001579,0.001518,0.000182,0.003522
