year,white_player,white_rating,white_rank,black_player,black_rating,black_rank,round,result
2024,Abasov,2632,114,Nepomniachtchi,2758,7,1,Draw
2024,Caruana,2803,2,Nakamura,2789,3,1,Draw
2024,Dommaraju,2743,16,Gujrathi,2727,25,1,Draw
2024,Firouzja,2760,6,Praggnanandhaa,2747,14,1,Draw
2024,Caruana,2803,2,Abasov,2632,114,2,White
2024,Nakamura,2789,3,Gujrathi,2727,25,2,Black
2024,Nepomniachtchi,2758,7,Firouzja,2760,6,2,White
2024,Praggnanandhaa,2747,14,Dommaraju,2743,16,2,Black
2024,Abasov,2632,114,Nakamura,2789,3,3,Draw
2024,Dommaraju,2743,16,Nepomniachtchi,2758,7,3,Draw
2024,Firouzja,2760,6,Caruana,2803,2,3,Draw
2024,Gujrathi,2727,25,Praggnanandhaa,2747,14,3,Black
2024,Abasov,2632,114,Firouzja,2760,6,4,Draw
2024,Caruana,2803,2,Dommaraju,2743,16,4,Draw
2024,Nakamura,2789,3,Praggnanandhaa,2747,14,4,Draw
2024,Nepomniachtchi,2758,7,Gujrathi,2727,25,4,White
2024,Dommaraju,2743,16,Abasov,2632,114,5,White
2024,Firouzja,2760,6,Nakamura,2789,3,5,Black
2024,Gujrathi,2727,25,Caruana,2803,2,5,Draw
2024,Praggnanandhaa,2747,14,Nepomniachtchi,2758,7,5,Draw
2024,Dommaraju,2743,16,Nakamura,2789,3,6,Draw
2024,Gujrathi,2727,25,Firouzja,2760,6,6,White
2024,Nepomniachtchi,2758,7,Caruana,2803,2,6,Draw
2024,Praggnanandhaa,2747,14,Abasov,2632,114,6,White
2024,Abasov,2632,114,Gujrathi,2727,25,7,Draw
2024,Caruana,2803,2,Praggnanandhaa,2747,14,7,Draw
2024,Firouzja,2760,6,Dommaraju,2743,16,7,White
2024,Nakamura,2789,3,Nepomniachtchi,2758,7,7,Draw
2024,Gujrathi,2727,25,Dommaraju,2743,16,8,Black
2024,Nakamura,2789,3,Caruana,2803,2,8,White
2024,Nepomniachtchi,2758,7,Abasov,2632,114,8,Draw
2024,Praggnanandhaa,2747,14,Firouzja,2760,6,8,Draw
2024,Abasov,2632,114,Caruana,2803,2,9,Draw
2024,Dommaraju,2743,16,Praggnanandhaa,2747,14,9,Draw
2024,Firouzja,2760,6,Nepomniachtchi,2758,7,9,Draw
2024,Gujrathi,2727,25,Nakamura,2789,3,9,White
2024,Caruana,2803,2,Firouzja,2760,6,10,White
2024,Nakamura,2789,3,Abasov,2632,114,10,White
2024,Nepomniachtchi,2758,7,Dommaraju,2743,16,10,Draw
2024,Praggnanandhaa,2747,14,Gujrathi,2727,25,10,Draw
2024,Dommaraju,2743,16,Caruana,2803,2,11,Draw
2024,Firouzja,2760,6,Abasov,2632,114,11,White
2024,Gujrathi,2727,25,Nepomniachtchi,2758,7,11,Black
2024,Praggnanandhaa,2747,14,Nakamura,2789,3,11,Black
2024,Abasov,2632,114,Dommaraju,2743,16,12,Black
2024,Caruana,2803,2,Gujrathi,2727,25,12,White
2024,Nakamura,2789,3,Firouzja,2760,6,12,White
2024,Nepomniachtchi,2758,7,Praggnanandhaa,2747,14,12,Draw
2024,Dommaraju,2743,16,Firouzja,2760,6,13,White
2024,Gujrathi,2727,25,Abasov,2632,114,13,Draw
2024,Nepomniachtchi,2758,7,Nakamura,2789,3,13,Draw
2024,Praggnanandhaa,2747,14,Caruana,2803,2,13,Black
2024,Abasov,2632,114,Praggnanandhaa,2747,14,14,Black
2024,Caruana,2803,2,Nepomniachtchi,2758,7,14,Draw
2024,Firouzja,2760,6,Gujrathi,2727,25,14,Draw
2024,Nakamura,2789,3,Dommaraju,2743,16,14,Draw
2022,Caruana,2783,4,Nakamura,2760,11,1,White
2022,Duda,2750,16,Rapport,2764,8,1,Draw
2022,Liren,2806,2,Nepomniachtchi,2766,7,1,Black
2022,Radjabov,2753,13,Firouzja,2793,3,1,Draw
2022,Duda,2750,16,Liren,2806,2,2,Draw
2022,Nakamura,2760,11,Radjabov,2753,13,2,White
2022,Nepomniachtchi,2766,7,Caruana,2783,4,2,Draw
2022,Rapport,2764,8,Firouzja,2793,3,2,Draw
2022,Caruana,2783,4,Duda,2750,16,3,Draw
2022,Firouzja,2793,3,Nakamura,2760,11,3,Draw
2022,Liren,2806,2,Rapport,2764,8,3,Draw
2022,Radjabov,2753,13,Nepomniachtchi,2766,7,3,Draw
2022,Duda,2750,16,Radjabov,2753,13,4,Draw
2022,Liren,2806,2,Caruana,2783,4,4,Draw
2022,Nepomniachtchi,2766,7,Firouzja,2793,3,4,White
2022,Rapport,2764,8,Nakamura,2760,11,4,Draw
2022,Caruana,2783,4,Rapport,2764,8,5,Draw
2022,Firouzja,2793,3,Duda,2750,16,5,Draw
2022,Nakamura,2760,11,Nepomniachtchi,2766,7,5,Draw
2022,Radjabov,2753,13,Liren,2806,2,5,Draw
2022,Firouzja,2793,3,Caruana,2783,4,6,Black
2022,Nakamura,2760,11,Liren,2806,2,6,Draw
2022,Nepomniachtchi,2766,7,Duda,2750,16,6,White
2022,Radjabov,2753,13,Rapport,2764,8,6,Draw
2022,Caruana,2783,4,Radjabov,2753,13,7,White
2022,Duda,2750,16,Nakamura,2760,11,7,Draw
2022,Liren,2806,2,Firouzja,2793,3,7,Draw
2022,Rapport,2764,8,Nepomniachtchi,2766,7,7,Black
2022,Firouzja,2793,3,Radjabov,2753,13,8,Draw
2022,Nakamura,2760,11,Caruana,2783,4,8,White
2022,Nepomniachtchi,2766,7,Liren,2806,2,8,Draw
2022,Rapport,2764,8,Duda,2750,16,8,White
2022,Caruana,2783,4,Nepomniachtchi,2766,7,9,Draw
2022,Firouzja,2793,3,Rapport,2764,8,9,White
2022,Liren,2806,2,Duda,2750,16,9,White
