year,poll,rank,team
2014,post,1,Ohio State
2014,post,2,Oregon
2014,post,3,TCU
2014,post,4,Alabama
2014,post,5,Florida State
2014,post,5,Michigan State
2014,post,7,Baylor
2014,post,8,Georgia Tech
2014,post,9,Georgia
2014,post,10,UCLA
2014,post,11,Mississippi State
2014,post,12,Arizona State
2014,post,13,Wisconsin
2014,post,14,Missouri
2014,post,15,Clemson
2014,post,16,Boise State
2014,post,17,Ole Miss
2014,post,18,Kansas State
2014,post,19,Arizona
2014,post,20,USC
2014,post,21,Utah
2014,post,22,Auburn
2014,post,23,Marshall
2014,post,24,Louisville
2014,post,25,Memphis
2014,post,26,Notre Dame
2014,post,27,Stanford
2014,post,28,Nebraska
2014,post,29,Air Force
2014,post,30,Duke
2014,post,31,LSU
2014,post,32,Utah State
2014,post,33,Arkansas
2014,post,34,Minnesota
2014,post,35,Oklahoma
2014,post,35,Texas A&M
2014,post,37,Northern Illinois
2014,post,38,Colorado State
2014,pre,1,Florida State
2014,pre,2,Alabama
2014,pre,3,Oregon
2014,pre,4,Oklahoma
2014,pre,5,Ohio State
2014,pre,6,Auburn
2014,pre,7,UCLA
2014,pre,8,Michigan State
2014,pre,9,South Carolina
2014,pre,10,Baylor
2014,pre,11,Stanford
2014,pre,12,Georgia
2014,pre,13,LSU
2014,pre,14,Wisconsin
2014,pre,15,USC
2014,pre,16,Clemson
2014,pre,17,Notre Dame
2014,pre,18,Ole Miss
2014,pre,19,Arizona State
2014,pre,20,Kansas State
2014,pre,21,Texas A&M
2014,pre,22,Nebraska
2014,pre,23,North Carolina
2014,pre,24,Missouri
2014,pre,25,Washington
2014,pre,26,UCF
2014,pre,27,Florida
2014,pre,28,Texas
2014,pre,29,Duke
2014,pre,30,Iowa
2014,pre,31,Louisville
2014,pre,32,Marshall
2014,pre,33,Oklahoma State
2014,pre,34,Virginia Tech
2014,pre,35,TCU
2014,pre,36,Mississippi State
2014,pre,37,Michigan
2014,pre,37,Texas Tech
2014,pre,39,Miami
2014,pre,40,Cincinnati
2014,pre,41,Boise State
2014,pre,41,Oregon State
2014,pre,43,BYU
2014,pre,43,Northwestern
2014,pre,45,Penn State
2014,pre,46,Navy
2014,pre,46,Vanderbilt
2014,pre,48,Louisiana
2014,pre,48,Nevada
2014,pre,48,Utah State
2015,post,1,Alabama
2015,post,2,Clemson
2015,post,3,Stanford
2015,post,4,Ohio State
2015,post,5,Oklahoma
2015,post,6,Michigan State
2015,post,7,TCU
2015,post,8,Houston
2015,post,9,Iowa
2015,post,10,Ole Miss
2015,post,11,Notre Dame
2015,post,12,Michigan
2015,post,13,Baylor
2015,post,14,Florida State
