year,country,elo,group,points
2026,Spain,2157,H,7
2026,Argentina,2115,J,9
2026,France,2063,I,9
2026,England,2024,L,7
2026,Brazil,1991,C,7
2026,Portugal,1989,K,5
2026,Colombia,1982,K,7
2026,Netherlands,1948,F,7
2026,Ecuador,1938,E,4
2026,Germany,1932,E,6
2026,Norway,1914,I,6
2026,Croatia,1912,L,6
2026,Turkey,1911,D,3
2026,Japan,1906,F,5
2026,Belgium,1894,G,5
2026,Uruguay,1892,H,2
2026,Switzerland,1891,B,7
2026,Mexico,1875,A,9
2026,Senegal,1860,I,3
2026,Paraguay,1834,D,4
2026,Austria,1830,J,4
2026,Morocco,1827,C,7
2026,Canada,1788,B,4
2026,Scotland,1782,C,3
2026,Australia,1777,D,4
2026,Algeria,1772,J,4
2026,Iran,1772,G,3
2026,South Korea,1758,A,3
2026,Czechia,1740,A,1
2026,Panama,1730,L,0
2026,United States,1726,D,6
2026,Uzbekistan,1714,K,0
2026,Sweden,1712,F,4
2026,Egypt,1696,G,5
2026,Ivory Coast,1695,E,6
2026,Jordan,1680,J,0
2026,DR Congo,1652,K,4
2026,Tunisia,1628,F,0
2026,Iraq,1607,I,0
2026,Bosnia and Herzegovina,1595,B,4
2026,Cape Verde,1578,H,3
2026,Saudi Arabia,1576,H,2
2026,New Zealand,1562,G,1
2026,Haiti,1548,C,0
2026,South Africa,1517,A,4
2026,Ghana,1510,L,4
2026,Curaçao,1434,E,1
2026,Qatar,1421,B,1
