year,country,elo,group,points,bracket,knockouts
2026,Spain,2157,H,7,,
2026,Argentina,2115,J,9,,
2026,France,2063,I,9,,
2026,England,2024,L,7,,
2026,Brazil,1991,C,7,,
2026,Portugal,1989,K,5,,
2026,Colombia,1982,K,7,,
2026,Netherlands,1948,F,7,,
2026,Ecuador,1938,E,4,,
2026,Germany,1932,E,6,,
2026,Norway,1914,I,6,,
2026,Croatia,1912,L,6,,
2026,Turkey,1911,D,3,,
2026,Japan,1906,F,5,,
2026,Belgium,1894,G,5,,
2026,Uruguay,1892,H,2,,
2026,Switzerland,1891,B,7,,
2026,Mexico,1875,A,9,,
2026,Senegal,1860,I,3,,
2026,Paraguay,1834,D,4,,
2026,Austria,1830,J,4,,
2026,Morocco,1827,C,7,,
2026,Canada,1788,B,4,,
2026,Scotland,1782,C,3,,
2026,Australia,1777,D,4,,
2026,Algeria,1772,J,4,,
2026,Iran,1772,G,3,,
2026,South Korea,1758,A,3,,
2026,Czechia,1740,A,1,,
2026,Panama,1730,L,0,,
2026,United States,1726,D,6,,
2026,Uzbekistan,1714,K,0,,
2026,Sweden,1712,F,4,,
2026,Egypt,1696,G,5,,
2026,Ivory Coast,1695,E,6,,
2026,Jordan,1680,J,0,,
2026,DR Congo,1652,K,4,,
2026,Tunisia,1628,F,0,,
2026,Iraq,1607,I,0,,
2026,Bosnia and Herzegovina,1595,B,4,,
2026,Cape Verde,1578,H,3,,
2026,Saudi Arabia,1576,H,2,,
2026,New Zealand,1562,G,1,,
2026,Haiti,1548,C,0,,
2026,South Africa,1517,A,4,,
2026,Ghana,1510,L,4,,
2026,Curaçao,1434,E,1,,
2026,Qatar,1421,B,1,,
2022,Netherlands,2040,A,7,1,1
2022,United States,1796,B,5,2,0
2022,Argentina,2143,C,6,3,4
2022,Australia,1720,D,6,4,0
2022,Japan,1788,E,6,5,0
2022,Croatia,1926,F,5,6,2
2022,Brazil,2169,G,6,7,1
2022,South Korea,1786,H,4,8,0
2022,England,1919,B,7,9,1
2022,Senegal,1684,A,6,10,0
2022,France,2004,D,6,11,3
2022,Poland,1813,C,4,12,0
2022,Morocco,1764,F,7,13,2
2022,Spain,2049,E,4,14,0
2022,Portugal,2005,H,6,15,1
2022,Switzerland,1901,G,6,16,0
2022,Belgium,2006,F,4,,
2022,Denmark,1971,D,1,,
2022,Germany,1962,E,4,,
2022,Uruguay,1935,H,4,,
2022,Serbia,1898,G,1,,
2022,Ecuador,1832,A,4,,
2022,Mexico,1808,C,4,,
2022,Iran,1798,B,3,,
2022,Wales,1789,B,1,,
2022,Canada,1775,F,0,,
2022,Costa Rica,1743,E,3,,
2022,Tunisia,1705,D,4,,
2022,Qatar,1680,A,0,,
2022,Saudi Arabia,1636,C,3,,
2022,Cameroon,1607,G,4,,
2022,Ghana,1564,H,3,,
2018,Uruguay,1944,A,9,1,1
2018,Portugal,1939,B,5,2,0
2018,France,2125,C,7,3,4
2018,Argentina,1895,D,4,4,0
2018,Brazil,2113,E,7,5,1
2018,Mexico,1828,F,6,6,0
2018,Belgium,2057,G,9,7,2
2018,Japan,1698,H,4,8,0
2018,Spain,2009,B,5,9,0
2018,Russia,1720,A,6,10,1
2018,Croatia,1942,D,9,11,3
2018,Denmark,1894,C,5,12,0
