Overs,0w,1w,2w,3w,4w,5w,6w,7w,8w,9w
0,0/0,3/1,7/2,13/3,21/4,32/5,46/6,63/7,79/8,92/9
1,4/0,7/1,11/2,16/3,23/4,33/5,47/6,63/7,79/8,92/9
2,8/0,10/1,14/2,19/3,26/4,35/5,47/6,63/7,79/8,92/9
3,12/0,14/1,18/2,22/3,28/4,37/5,48/6,63/7,79/8,92/9
4,16/0,18/1,21/2,25/3,31/4,39/5,50/6,64/7,79/8,92/9
5,20/0,22/1,25/2,28/3,34/4,41/5,51/6,64/7,79/8,92/9
6,25/0,26/1,29/2,32/3,37/4,43/5,52/6,65/7,79/8,92/9
7,29/0,31/1,33/2,36/3,40/4,46/5,54/6,66/7,79/8,92/9
8,34/0,35/1,37/2,39/3,43/4,48/5,56/6,66/7,80/8,92/9
9,38/0,40/1,41/2,43/3,46/4,51/5,58/6,67/7,80/8,92/9
10,43/0,44/1,46/2,47/3,50/4,54/5,60/6,68/7,80/8,92/9
11,48/0,49/1,50/2,52/3,54/4,57/5,62/6,70/7,80/8,92/9
12,53/0,54/1,55/2,56/3,58/4,61/5,65/6,71/7,81/8,92/9
13,59/0,59/1,60/2,61/3,62/4,65/5,68/6,73/7,81/8,92/9
14,64/0,65/1,65/2,66/3,67/4,69/5,71/6,75/7,82/8,92/9
15,70/0,70/1,70/2,71/3,72/4,73/5,75/6,78/7,83/8,92/9
16,75/0,76/1,76/2,76/3,77/4,78/5,79/6,81/7,85/8,92/9
17,81/0,81/1,82/2,82/3,82/4,83/5,83/6,85/7,87/8,93/9
18,87/0,88/1,88/2,88/3,88/4,88/5,88/6,89/7,90/8,94/9
19,94/0,94/1,94/2,94/3,94/4,94/5,94/6,94/7,94/8,96/9
20,100/0,100/1,100/2,100/3,100/4,100/5,100/6,100/7,100/8,100/9
